rank,n,net,pf,dd,mar,win,evr,ryr,tpy,sh,so,avl,folds8,secs,params
97,2860,42630,1.089,47485,0.9,9.1,0.081,15.4,189.9,0.2,0.57,183,3,16,"{'tl_len': 290, 'vol_mult': 1.4, 'stop_mult': 0.5, 'act_R': 3.0, 'trail_frac': 2.0, 'buf_atr': 0.55, 'min_brk': 1.8, 'ema_len': 1260, 'atr_len': 180, 'regime_len': 90, 'cooldown_bars': 230, 'freeze_overnight': False, 'breakeven_R': 0.5}"
98,698,232878,1.453,46280,5.03,28.2,0.325,15.1,46.3,0.59,1.5,1026,7,17,"{'tl_len': 254, 'vol_mult': 1.4, 'stop_mult': 1.6, 'act_R': 1.5, 'trail_frac': 4.0, 'buf_atr': 0.55, 'min_brk': 1.3, 'ema_len': 380, 'atr_len': 44, 'regime_len': 65, 'cooldown_bars': 120, 'freeze_overnight': False, 'breakeven_R': 2.5}"
99,2540,69658,1.117,51504,1.35,24.6,0.088,14.9,168.6,0.27,0.81,311,3,15,"{'tl_len': 50, 'vol_mult': 3.1, 'stop_mult': 1.2, 'act_R': 2.5, 'trail_frac': 2.0, 'buf_atr': 0.85, 'min_brk': 2.1, 'ema_len': 1540, 'atr_len': 108, 'regime_len': 10, 'cooldown_bars': 45, 'freeze_overnight': True, 'breakeven_R': 0.0}"
100,2444,30198,1.098,45354,0.67,7.0,0.091,14.8,162.2,0.12,0.75,136,5,15,"{'tl_len': 190, 'vol_mult': 4.2, 'stop_mult': 0.3, 'act_R': 3.0, 'trail_frac': 3.5, 'buf_atr': 0.15, 'min_brk': 0.9, 'ema_len': 1540, 'atr_len': 116, 'regime_len': 0, 'cooldown_bars': 145, 'freeze_overnight': True, 'breakeven_R': 3.0}"
101,2677,57563,1.105,21087,2.73,22.5,0.081,14.4,177.7,0.3,0.65,265,6,14,"{'tl_len': 134, 'vol_mult': 2.9, 'stop_mult': 1.3, 'act_R': 1.0, 'trail_frac': 2.0, 'buf_atr': 0.9, 'min_brk': 1.0, 'ema_len': 740, 'atr_len': 68, 'regime_len': 65, 'cooldown_bars': 160, 'freeze_overnight': True, 'breakeven_R': 0.5}"
102,4587,68130,1.06,44769,1.52,20.8,0.047,14.4,304.5,0.23,0.53,314,4,15,"{'tl_len': 118, 'vol_mult': 2.4, 'stop_mult': 1.0, 'act_R': 3.0, 'trail_frac': 1.5, 'buf_atr': 0.9, 'min_brk': 0.3, 'ema_len': 100, 'atr_len': 156, 'regime_len': 45, 'cooldown_bars': 40, 'freeze_overnight': False, 'breakeven_R': 1.5}"
103,1044,212996,1.319,44335,4.8,35.0,0.207,14.4,69.3,0.52,1.38,983,7,17,"{'tl_len': 298, 'vol_mult': 2.7, 'stop_mult': 1.9, 'act_R': 0.0, 'trail_frac': 3.0, 'buf_atr': 0.05, 'min_brk': 2.0, 'ema_len': 220, 'atr_len': 56, 'regime_len': 55, 'cooldown_bars': 195, 'freeze_overnight': False, 'breakeven_R': 2.5}"
104,3102,75566,1.092,40777,1.85,25.1,0.069,14.2,205.9,0.31,0.7,353,4,15,"{'tl_len': 190, 'vol_mult': 2.9, 'stop_mult': 0.9, 'act_R': 2.0, 'trail_frac': 1.0, 'buf_atr': 0.85, 'min_brk': 0.7, 'ema_len': 1380, 'atr_len': 28, 'regime_len': 5, 'cooldown_bars': 5, 'freeze_overnight': True, 'breakeven_R': 1.5}"
105,1427,132665,1.198,46573,2.85,26.4,0.146,13.8,94.7,0.41,1.12,639,5,14,"{'tl_len': 278, 'vol_mult': 3.3, 'stop_mult': 1.2, 'act_R': 1.5, 'trail_frac': 3.0, 'buf_atr': 0.5, 'min_brk': 1.1, 'ema_len': 220, 'atr_len': 36, 'regime_len': 65, 'cooldown_bars': 200, 'freeze_overnight': True, 'breakeven_R': 0.0}"
106,2137,100683,1.119,48742,2.07,19.0,0.096,13.6,141.9,0.32,0.8,491,6,13,"{'tl_len': 282, 'vol_mult': 1.0, 'stop_mult': 0.7, 'act_R': 3.0, 'trail_frac': 1.0, 'buf_atr': 0.15, 'min_brk': 2.3, 'ema_len': 1100, 'atr_len': 100, 'regime_len': 90, 'cooldown_bars': 215, 'freeze_overnight': True, 'breakeven_R': 0.0}"
