run,famKey,strategy,instrument,timeframe,verdict,source,stretch,n,years,pf,win_pct,evr,ryr,net,dd,wf_years_src,params
186,ORB,ORB_3_0_ENS.py,NQ,5m,PASS,champion,pre,2787,15.06,1.567,46.8,0.302,55.8,181431,10611,optimize window,"{""breakout_buf"": 0.0, ""vol_filter"": 1.25, ""or_bars"": 1, ""be_after_R"": 1.0, ""stop_frac"": 1.75, ""trail_bars"": 12, ""target_R"": 4.0, ""trade_mode"": ""Both"", ""atr_filter"": 0.1}"
187,ORB,ORB_3_0_ENS.py,NQ,5m,PASS,champion,pre,2787,15.06,1.567,46.8,0.302,55.8,181431,10611,optimize window,"{""breakout_buf"": 0.0, ""vol_filter"": 1.25, ""or_bars"": 1, ""be_after_R"": 1.0, ""stop_frac"": 1.75, ""trail_bars"": 12, ""target_R"": 4.0, ""trade_mode"": ""Both"", ""atr_filter"": 0.1}"
188,ENGU-Q,ENGUQ_1M_CTX_1_0.py,NQ,1m,FAIL,champion,pre,1175,15.06,1.682,33.5,0.453,35.4,269707,35347,optimize window,"{""buf_atr"": 0.9, ""max_vix"": 0.0, ""vol_mult"": 0.8, ""tl_len"": 48, ""ema_len"": 390, ""stop_mult"": 1.0, ""max_tnx_chg20"": 0.5, ""trail_frac"": 2.5, ""regime_len"": 0, ""min_brk"": 1.3, ""breakeven_R"": 0.0, ""atr_len"": 30, ""act_R"": 2.5}"
189,ORB,ORB_3_0_ENS.py,NQ,5m,PASS,champion,pre,2787,15.06,1.567,46.8,0.302,55.8,181431,10611,optimize window,"{""breakout_buf"": 0.0, ""vol_filter"": 1.25, ""or_bars"": 1, ""be_after_R"": 1.0, ""stop_frac"": 1.75, ""trail_bars"": 12, ""target_R"": 4.0, ""trade_mode"": ""Both"", ""atr_filter"": 0.1}"
190,ENGU-Q,ENGUQ_1M_CTX_1_0.py,ES,1m,FAIL,champion,pre,1315,15.06,1.189,26.9,0.138,12.1,68556,21669,optimize window,"{""buf_atr"": 0.9, ""max_vix"": 40.0, ""vol_mult"": 0.8, ""tl_len"": 48, ""ema_len"": 390, ""stop_mult"": 1.0, ""max_tnx_chg20"": 0.45, ""trail_frac"": 2.5, ""regime_len"": 0, ""min_brk"": 1.3, ""breakeven_R"": 0.0, ""atr_len"": 30, ""act_R"": 2.5}"
191,ENGU-Q,ENGUQ_5M_1_0.py,ES,5m,FAIL,champion,pre,290,15.06,2.978,24.8,1.487,28.6,196293,15658,optimize window,"{""buf_atr"": 0.75, ""vol_mult"": 0.2, ""ema_len"": 310, ""tl_len"": 37, ""stop_mult"": 0.7, ""trail_frac"": 3.0, ""min_brk"": 0.7, ""breakeven_R"": 3.0, ""atr_len"": 39, ""act_R"": 2.5}"
192,ORB,ORB_3_0_ENS.py,NQ,5m,PASS,champion,pre,2787,15.06,1.567,46.8,0.302,55.8,181431,10611,optimize window,"{""breakout_buf"": 0.0, ""vol_filter"": 1.25, ""or_bars"": 1, ""be_after_R"": 1.0, ""stop_frac"": 1.75, ""trail_bars"": 12, ""target_R"": 4.0, ""trade_mode"": ""Both"", ""atr_filter"": 0.1}"
193,ORB,ORB_3_0_ENS.py,NQ,5m,PASS,champion,pre,2787,15.06,1.567,46.8,0.302,55.8,181431,10611,optimize window,"{""breakout_buf"": 0.0, ""vol_filter"": 1.25, ""or_bars"": 1, ""be_after_R"": 1.0, ""stop_frac"": 1.75, ""trail_bars"": 12, ""target_R"": 4.0, ""trade_mode"": ""Both"", ""atr_filter"": 0.1}"
194,ORB,ORB_3_0_ENS.py,NQ,5m,PASS,champion,pre,2787,15.06,1.567,46.8,0.302,55.8,181431,10611,optimize window,"{""breakout_buf"": 0.0, ""vol_filter"": 1.25, ""or_bars"": 1, ""be_after_R"": 1.0, ""stop_frac"": 1.75, ""trail_bars"": 12, ""target_R"": 4.0, ""trade_mode"": ""Both"", ""atr_filter"": 0.1}"
195,ORB,ORB_3_0_ENS.py,NQ,5m,PASS,champion,pre,2787,15.06,1.567,46.8,0.302,55.8,181431,10611,optimize window,"{""breakout_buf"": 0.0, ""vol_filter"": 1.25, ""or_bars"": 1, ""be_after_R"": 1.0, ""stop_frac"": 1.75, ""trail_bars"": 12, ""target_R"": 4.0, ""trade_mode"": ""Both"", ""atr_filter"": 0.1}"
196,ENGU-Q,ENGUQ_1M_ENS_1_0.py,NQ,1m,FAIL,champion,pre,590,15.06,1.989,36.4,0.629,24.6,193108,14766,optimize window,"{""buf_atr"": 0.1, ""vol_mult"": 0.0, ""ema_len"": 180, ""tl_len"": 44, ""min_brk"": 1.6, ""stop_mult"": 1.9, ""trail_frac"": 3.0, ""regime_len"": 20, ""target_R"": 8.0, ""breakeven_R"": 2.0, ""atr_len"": 8, ""act_R"": 1.5}"
197,ENGU-Q,ENGUQ_1M_ENS_1_0.py,NQ,1m,FAIL,champion,pre,590,15.06,1.989,36.4,0.629,24.6,193108,14766,optimize window,"{""buf_atr"": 0.1, ""vol_mult"": 0.0, ""ema_len"": 180, ""tl_len"": 44, ""min_brk"": 1.6, ""stop_mult"": 1.9, ""trail_frac"": 3.0, ""regime_len"": 20, ""target_R"": 8.0, ""breakeven_R"": 2.0, ""atr_len"": 8, ""act_R"": 1.5}"
198,ENGU-Q,ENGUQ_1M_ETH_1_0.py,NQ,1m,PASS,champion,pre,938,15.06,2.204,14.1,1.034,64.4,271681,28269,optimize window,"{""buf_atr"": 0.6, ""vol_mult"": 0.1, ""ema_len"": 380, ""tl_len"": 238, ""stop_mult"": 1.0, ""trail_frac"": 4.0, ""regime_len"": 5, ""min_brk"": 1.0, ""breakeven_R"": 1.0, ""atr_len"": 108, ""act_R"": 2.5}"
199,ORB,ORB_3_0_ENS.py,NQ,5m,PASS,champion,pre,2787,15.06,1.567,46.8,0.302,55.8,181431,10611,optimize window,"{""breakout_buf"": 0.0, ""vol_filter"": 1.25, ""or_bars"": 1, ""be_after_R"": 1.0, ""stop_frac"": 1.75, ""trail_bars"": 12, ""target_R"": 4.0, ""trade_mode"": ""Both"", ""atr_filter"": 0.1}"
200,ORB,ORB_3_0_ENS.py,NQ,5m,PASS,champion,pre,2787,15.06,1.567,46.8,0.302,55.8,181431,10611,optimize window,"{""breakout_buf"": 0.0, ""vol_filter"": 1.25, ""or_bars"": 1, ""be_after_R"": 1.0, ""stop_frac"": 1.75, ""trail_bars"": 12, ""target_R"": 4.0, ""trade_mode"": ""Both"", ""atr_filter"": 0.1}"
201,TTIBS,TTIBS_1_0.py,NQ,5m,WEAK,champion,pre,485,15.1,2.044,69.1,0.323,10.4,271340,17183,optimize window,"{""trigger"": ""ibs"", ""fill_mode"": ""close"", ""hold_cap"": 8, ""mon_drop"": 0.01, ""ibs_entry"": 0.4, ""ma200"": false, ""exit_mode"": ""ibs_exit""}"
202,NOISE,NOISE_1_0.py,NQ,5m,PASS,champion,pre,3863,14.61,1.213,35.8,0.137,36.2,114668,16251,optimize window,"{""skip_holidays"": false, ""stop_mode"": ""bandwidth"", ""window"": ""all_day"", ""flat_eod"": true, ""lookback"": 44, ""side"": ""Both"", ""band_mult_long"": 0.75, ""stop_k"": 1.75, ""exit_mode"": ""vwap"", ""band_mult_short"": 1.5}"
203,NOISE,NOISE_1_0.py,NQ,5m,PASS,champion,pre,3863,14.61,1.173,34.7,0.113,29.9,95353,16827,optimize window,"{""skip_holidays"": false, ""stop_mode"": ""bandwidth"", ""window"": ""all_day"", ""flat_eod"": true, ""lookback"": 44, ""side"": ""Both"", ""band_mult_long"": 0.75, ""stop_k"": 1.75, ""exit_mode"": ""vwap"", ""band_mult_short"": 1.5}"
204,BOOK,BOOK · 7 · ORB 3.0-scaled out + 8 · ENGU-Q 1.0-1m,NQ,5m,PASS,champion,pre,5012,16.06,1.677,38.5,0.417,130.0,819284,37138,optimize window,"{""book"": [""ORB_3_0_ENS.py"", ""ENGUQ_1M_ETH_1_0.py""]}"
209,ORB,ORB_3_4.py,NQ,5m,PASS,champion,pre,1992,15.1,1.277,55.3,0.124,16.3,122672,20334,optimize window,"{""skip_holidays"": false, ""breakout_buf"": 0.0, ""vpace_filter"": 0.0, ""vol_filter"": 1.0, ""flat_eod"": false, ""close_confirm"": false, ""or_bars"": 5, ""stop_frac"": 1.25, ""trail_bars"": 17, ""target_R"": 4.5, ""partial_exit_R"": 1.0, ""trade_mode"": ""First-candle dir"", ""atr_filter"": 0.7}"
