rank,n,net,pf,dd,mar,win,evr,ryr,tpy,sh,so,avl,folds8,secs,params
30,2986,102078,1.283,11218,9.1,14.9,0.241,47.8,198.3,0.63,2.11,142,6,4,"{'lookback': 88, 'band_mult_long': 2.0, 'band_mult_short': 1.25, 'exit_mode': 'boundary', 'side': 'Short Only', 'window': 'all_day', 'flat_eod': False, 'skip_holidays': True, 'stop_mode': 'off', 'confirm_bars': 2, 'daytype_mode': 'off', 'daytype_lo': 0.3, 'daytype_hi': 0.95, 'vol_skip_pct': 94.0, 'stop_k': 2.25}"
31,1959,83055,1.437,7441,11.16,19.0,0.354,46.0,130.1,0.76,2.38,120,6,4,"{'lookback': 117, 'band_mult_long': 1.5, 'band_mult_short': 1.5, 'exit_mode': 'boundary', 'side': 'Both', 'window': 'all_day', 'flat_eod': True, 'skip_holidays': False, 'stop_mode': 'atr', 'confirm_bars': 3, 'daytype_mode': 'skip_top_long', 'daytype_lo': 0.2, 'daytype_hi': 0.85, 'vol_skip_pct': 67.0, 'stop_k': 1.75}"
32,1811,108740,1.528,9673,11.24,27.8,0.382,45.9,120.3,1.01,2.78,157,7,1,"{'lookback': 13, 'band_mult_long': 1.0, 'band_mult_short': 0.75, 'exit_mode': 'band', 'side': 'Long Only', 'window': 'afternoon_block', 'flat_eod': True, 'skip_holidays': False, 'stop_mode': 'off', 'confirm_bars': 1, 'daytype_mode': 'skip_bot_short', 'daytype_lo': 0.4, 'daytype_hi': 0.85, 'vol_skip_pct': 62.0, 'stop_k': 2.25}"
33,1456,78413,1.587,9301,8.43,20.2,0.469,45.3,96.7,0.9,2.68,115,8,5,"{'lookback': 55, 'band_mult_long': 1.0, 'band_mult_short': 1.25, 'exit_mode': 'boundary', 'side': 'Long Only', 'window': 'afternoon_block', 'flat_eod': False, 'skip_holidays': False, 'stop_mode': 'off', 'confirm_bars': 3, 'daytype_mode': 'skip_top_all', 'daytype_lo': 0.15, 'daytype_hi': 0.9, 'vol_skip_pct': 70.0, 'stop_k': 1.75}"
34,2739,92084,1.295,16648,5.53,17.5,0.243,44.2,181.9,0.66,1.96,138,8,5,"{'lookback': 97, 'band_mult_long': 1.5, 'band_mult_short': 0.75, 'exit_mode': 'boundary', 'side': 'Both', 'window': 'afternoon_block', 'flat_eod': True, 'skip_holidays': True, 'stop_mode': 'atr', 'confirm_bars': 3, 'daytype_mode': 'skip_bot_short', 'daytype_lo': 0.45, 'daytype_hi': 0.55, 'vol_skip_pct': 88.0, 'stop_k': 3.25}"
35,2489,86853,1.314,14488,5.99,15.2,0.266,44.0,165.3,0.6,2.05,131,6,5,"{'lookback': 41, 'band_mult_long': 2.25, 'band_mult_short': 1.25, 'exit_mode': 'boundary', 'side': 'Short Only', 'window': 'all_day', 'flat_eod': False, 'skip_holidays': True, 'stop_mode': 'fixed', 'confirm_bars': 2, 'daytype_mode': 'off', 'daytype_lo': 0.35, 'daytype_hi': 0.7, 'vol_skip_pct': 79.0, 'stop_k': 4.0}"
36,1822,56287,1.423,7106,7.92,14.3,0.363,43.9,121.0,0.71,2.39,85,7,2,"{'lookback': 67, 'band_mult_long': 0.75, 'band_mult_short': 0.75, 'exit_mode': 'boundary', 'side': 'Long Only', 'window': 'morning', 'flat_eod': False, 'skip_holidays': False, 'stop_mode': 'atr', 'confirm_bars': 1, 'daytype_mode': 'skip_top_long', 'daytype_lo': 0.25, 'daytype_hi': 0.65, 'vol_skip_pct': 78.0, 'stop_k': 2.75}"
37,1372,156259,1.686,8937,17.48,30.6,0.476,43.4,91.1,1.17,3.41,239,6,6,"{'lookback': 106, 'band_mult_long': 1.25, 'band_mult_short': 1.5, 'exit_mode': 'band', 'side': 'Both', 'window': 'afternoon_block', 'flat_eod': True, 'skip_holidays': True, 'stop_mode': 'atr', 'confirm_bars': 3, 'daytype_mode': 'skip_bot_all', 'daytype_lo': 0.15, 'daytype_hi': 0.6, 'vol_skip_pct': 84.0, 'stop_k': 1.0}"
38,4999,65713,1.145,33641,1.95,10.8,0.13,43.0,332.0,0.39,1.4,101,3,2,"{'lookback': 101, 'band_mult_long': 0.5, 'band_mult_short': 0.75, 'exit_mode': 'boundary', 'side': 'Short Only', 'window': 'all_day', 'flat_eod': True, 'skip_holidays': False, 'stop_mode': 'off', 'confirm_bars': 1, 'daytype_mode': 'off', 'daytype_lo': 0.25, 'daytype_hi': 0.55, 'vol_skip_pct': 75.0, 'stop_k': 2.5}"
39,2567,70323,1.281,15101,4.66,11.1,0.249,42.5,170.5,0.5,1.85,110,5,1,"{'lookback': 29, 'band_mult_long': 2.25, 'band_mult_short': 0.75, 'exit_mode': 'boundary', 'side': 'Short Only', 'window': 'morning', 'flat_eod': False, 'skip_holidays': False, 'stop_mode': 'atr', 'confirm_bars': 1, 'daytype_mode': 'skip_bot_all', 'daytype_lo': 0.45, 'daytype_hi': 0.55, 'vol_skip_pct': 97.0, 'stop_k': 0.75}"
40,3512,219922,1.273,27492,8.0,33.4,0.182,42.5,233.3,0.95,2.11,344,7,6,"{'lookback': 89, 'band_mult_long': 0.75, 'band_mult_short': 0.5, 'exit_mode': 'vwap', 'side': 'Both', 'window': 'morning', 'flat_eod': True, 'skip_holidays': False, 'stop_mode': 'atr', 'confirm_bars': 3, 'daytype_mode': 'off', 'daytype_lo': 0.35, 'daytype_hi': 0.95, 'vol_skip_pct': 93.0, 'stop_k': 2.75}"
41,2239,64193,1.336,10102,6.35,15.0,0.285,42.4,148.7,0.56,2.12,100,4,3,"{'lookback': 55, 'band_mult_long': 0.75, 'band_mult_short': 1.75, 'exit_mode': 'boundary', 'side': 'Short Only', 'window': 'all_day', 'flat_eod': True, 'skip_holidays': False, 'stop_mode': 'fixed', 'confirm_bars': 1, 'daytype_mode': 'skip_bot_all', 'daytype_lo': 0.25, 'daytype_hi': 0.85, 'vol_skip_pct': 93.0, 'stop_k': 2.0}"
42,2616,77236,1.286,12647,6.11,15.5,0.242,42.1,173.7,0.56,1.89,122,5,5,"{'lookback': 53, 'band_mult_long': 2.25, 'band_mult_short': 1.25, 'exit_mode': 'boundary', 'side': 'Both', 'window': 'all_day', 'flat_eod': False, 'skip_holidays': True, 'stop_mode': 'atr', 'confirm_bars': 2, 'daytype_mode': 'skip_top_long', 'daytype_lo': 0.4, 'daytype_hi': 0.55, 'vol_skip_pct': 76.0, 'stop_k': 2.5}"
43,2607,159899,1.314,17362,9.21,23.0,0.242,41.9,173.2,0.87,2.24,253,7,6,"{'lookback': 25, 'band_mult_long': 0.5, 'band_mult_short': 0.5, 'exit_mode': 'band', 'side': 'Both', 'window': 'morning', 'flat_eod': False, 'skip_holidays': True, 'stop_mode': 'fixed', 'confirm_bars': 2, 'daytype_mode': 'off', 'daytype_lo': 0.45, 'daytype_hi': 0.75, 'vol_skip_pct': 59.0, 'stop_k': 3.5}"
44,1926,169604,1.529,11411,14.86,39.7,0.319,40.8,127.9,1.24,2.62,276,7,5,"{'lookback': 51, 'band_mult_long': 0.75, 'band_mult_short': 2.5, 'exit_mode': 'vwap', 'side': 'Long Only', 'window': 'all_day', 'flat_eod': True, 'skip_holidays': False, 'stop_mode': 'fixed', 'confirm_bars': 3, 'daytype_mode': 'skip_bot_short', 'daytype_lo': 0.15, 'daytype_hi': 0.65, 'vol_skip_pct': 77.0, 'stop_k': 2.25}"
45,3147,254383,1.311,31240,8.14,37.5,0.194,40.6,209.0,0.92,1.87,416,7,3,"{'lookback': 14, 'band_mult_long': 1.5, 'band_mult_short': 1.5, 'exit_mode': 'vwap', 'side': 'Both', 'window': 'all_day', 'flat_eod': True, 'skip_holidays': False, 'stop_mode': 'off', 'confirm_bars': 1, 'daytype_mode': 'off', 'daytype_lo': 0.2, 'daytype_hi': 0.8, 'vol_skip_pct': 0.0, 'stop_k': 1.0}"
46,1534,134753,1.597,7994,16.86,34.1,0.393,40.1,101.9,1.1,2.99,223,7,4,"{'lookback': 23, 'band_mult_long': 1.5, 'band_mult_short': 1.75, 'exit_mode': 'band', 'side': 'Both', 'window': 'all_day', 'flat_eod': True, 'skip_holidays': True, 'stop_mode': 'atr', 'confirm_bars': 3, 'daytype_mode': 'skip_bot_short', 'daytype_lo': 0.1, 'daytype_hi': 0.95, 'vol_skip_pct': 77.0, 'stop_k': 3.75}"
