rank,n,net,pf,dd,mar,win,evr,ryr,tpy,sh,so,avl,folds8,secs,params
46,29,-10814,0.372,12986,-0.83,31.0,-0.433,-0.8,1.9,-0.51,-0.56,861,2,0,"{'length': 18, 'bb_mult': 1.75, 'kc_mult': 1.5, 'min_sq_bars': 2, 'entry_fill': 'range_break', 'exit_mode': 'fade', 'fade_bars': 2, 'stop_atr': 1.25, 'eod_cutoff': 1, 'gate_tf_min': 210, 'gate_mode': 'fired', 'gate_bars': 14, 'gate_len': 18, 'gate_ratio': 1.05, 'gate_fired_k': 2, 'direction': 'both'}"
47,25,-7725,0.273,8958,-0.86,32.0,-0.495,-0.8,1.7,-0.56,-0.55,625,3,0,"{'length': 18, 'bb_mult': 2.5, 'kc_mult': 1.0, 'min_sq_bars': 1, 'entry_fill': 'range_break', 'exit_mode': 'ride', 'fade_bars': 3, 'stop_atr': 1.25, 'eod_cutoff': 7, 'gate_tf_min': 240, 'gate_mode': 'none', 'gate_bars': 9, 'gate_len': 30, 'gate_ratio': 1.15, 'gate_fired_k': 2, 'direction': 'both'}"
48,148,-13909,0.826,17636,-0.79,48.0,-0.091,-0.9,9.8,-0.15,-0.17,1035,4,1,"{'length': 16, 'bb_mult': 1.75, 'kc_mult': 1.25, 'min_sq_bars': 8, 'entry_fill': 'open', 'exit_mode': 'ride', 'fade_bars': 2, 'stop_atr': 3.5, 'eod_cutoff': 8, 'gate_tf_min': 30, 'gate_mode': 'rising', 'gate_bars': 0, 'gate_len': 30, 'gate_ratio': 1.15, 'gate_fired_k': 4, 'direction': 'both'}"
49,66,-9939,0.525,13276,-0.75,42.4,-0.273,-1.2,4.4,-0.33,-0.38,551,4,0,"{'length': 16, 'bb_mult': 1.5, 'kc_mult': 1.0, 'min_sq_bars': 3, 'entry_fill': 'open', 'exit_mode': 'fade', 'fade_bars': 2, 'stop_atr': 3.25, 'eod_cutoff': 0, 'gate_tf_min': 180, 'gate_mode': 'sq_on', 'gate_bars': 5, 'gate_len': 14, 'gate_ratio': 0.8, 'gate_fired_k': 5, 'direction': 'both'}"
50,77,-15033,0.633,17070,-0.88,35.1,-0.238,-1.2,5.1,-0.35,-0.47,820,1,0,"{'length': 26, 'bb_mult': 1.5, 'kc_mult': 1.75, 'min_sq_bars': 5, 'entry_fill': 'open', 'exit_mode': 'ride', 'fade_bars': 3, 'stop_atr': 1.0, 'eod_cutoff': 1, 'gate_tf_min': 180, 'gate_mode': 'rising', 'gate_bars': 11, 'gate_len': 30, 'gate_ratio': 1.15, 'gate_fired_k': 3, 'direction': 'short'}"
51,201,-28223,0.745,32866,-0.86,41.8,-0.149,-2.0,13.4,-0.33,-0.42,945,3,1,"{'length': 26, 'bb_mult': 2.0, 'kc_mult': 2.0, 'min_sq_bars': 1, 'entry_fill': 'open', 'exit_mode': 'fade', 'fade_bars': 1, 'stop_atr': 2.75, 'eod_cutoff': 8, 'gate_tf_min': 60, 'gate_mode': 'rising', 'gate_bars': 10, 'gate_len': 12, 'gate_ratio': 1.4, 'gate_fired_k': 3, 'direction': 'short'}"
52,6,450,1.132,2657,0.17,16.7,0.11,0.0,0.4,0.02,0.04,682,0,0,"{'length': 32, 'bb_mult': 2.25, 'kc_mult': 1.5, 'min_sq_bars': 5, 'entry_fill': 'open', 'exit_mode': 'fade', 'fade_bars': 1, 'stop_atr': 2.0, 'eod_cutoff': 8, 'gate_tf_min': 180, 'gate_mode': 'rising', 'gate_bars': 11, 'gate_len': 24, 'gate_ratio': 1.05, 'gate_fired_k': 2, 'direction': 'both'}"
53,0,,,,,,,,,,,,,,"{'length': 14, 'bb_mult': 2.25, 'kc_mult': 1.0, 'min_sq_bars': 6, 'entry_fill': 'open', 'exit_mode': 'fade', 'fade_bars': 3, 'stop_atr': 1.0, 'eod_cutoff': 2, 'gate_tf_min': 240, 'gate_mode': 'sq_on', 'gate_bars': 16, 'gate_len': 26, 'gate_ratio': 0.85, 'gate_fired_k': 2, 'direction': 'long'}"
54,0,,,,,,,,,,,,,,"{'length': 28, 'bb_mult': 1.75, 'kc_mult': 1.0, 'min_sq_bars': 8, 'entry_fill': 'range_break', 'exit_mode': 'ride', 'fade_bars': 3, 'stop_atr': 3.0, 'eod_cutoff': 3, 'gate_tf_min': 210, 'gate_mode': 'sign', 'gate_bars': 5, 'gate_len': 12, 'gate_ratio': 1.35, 'gate_fired_k': 2, 'direction': 'short'}"
55,91,384,1.012,7540,0.05,41.8,0.007,0.0,6.0,0.01,0.02,596,4,0,"{'length': 16, 'bb_mult': 1.5, 'kc_mult': 1.0, 'min_sq_bars': 4, 'entry_fill': 'open', 'exit_mode': 'ride', 'fade_bars': 2, 'stop_atr': 2.25, 'eod_cutoff': 0, 'gate_tf_min': 210, 'gate_mode': 'sq_on', 'gate_bars': 0, 'gate_len': 22, 'gate_ratio': 1.25, 'gate_fired_k': 6, 'direction': 'both'}"
