rank,n,net,pf,dd,mar,win,evr,ryr,tpy,sh,so,avl,folds8,secs,params
249,1064,21736,1.033,59969,0.36,50.0,0.017,1.2,70.7,0.08,0.13,1237,3,1,"{'or_bars': 4, 'trade_mode': 'Both', 'stop_frac': 2.25, 'vpace_filter': 0.8, 'breakout_buf': 0.35, 'close_confirm': False, 'partial_exit_R': 1.5, 'trail_bars': 2, 'be_after_R': 3.9, 'atr_filter': 1.2, 'target_R': 2.5, 'flat_eod': True, 'skip_holidays': True}"
250,3656,5547,1.007,49550,0.11,26.9,0.005,1.2,242.8,0.03,0.06,311,5,1,"{'or_bars': 2, 'trade_mode': 'Both', 'stop_frac': 2.25, 'vpace_filter': 0.6, 'breakout_buf': 0.3, 'close_confirm': False, 'partial_exit_R': 0.0, 'trail_bars': 12, 'be_after_R': 3.5, 'atr_filter': 0.3, 'target_R': 6.0, 'flat_eod': True, 'skip_holidays': True}"
251,397,20263,1.086,35431,0.57,53.1,0.041,1.1,26.4,0.11,0.18,1260,5,1,"{'or_bars': 7, 'trade_mode': 'First-candle dir', 'stop_frac': 2.0, 'vpace_filter': 0.7, 'breakout_buf': 0.1, 'close_confirm': True, 'partial_exit_R': 6.0, 'trail_bars': 16, 'be_after_R': 1.9, 'atr_filter': 1.5, 'target_R': 5.5, 'flat_eod': False, 'skip_holidays': True}"
252,320,20743,1.109,23354,0.89,51.9,0.052,1.1,21.3,0.14,0.19,1237,4,1,"{'or_bars': 8, 'trade_mode': 'Short Only', 'stop_frac': 2.5, 'vpace_filter': 1.0, 'breakout_buf': 0.35, 'close_confirm': False, 'partial_exit_R': 2.0, 'trail_bars': 14, 'be_after_R': 2.7, 'atr_filter': 1.3, 'target_R': 5.0, 'flat_eod': False, 'skip_holidays': True}"
253,1414,13057,1.022,32499,0.4,44.5,0.012,1.1,93.9,0.06,0.09,756,3,1,"{'or_bars': 12, 'trade_mode': 'Short Only', 'stop_frac': 1.0, 'vpace_filter': 0.2, 'breakout_buf': 0.25, 'close_confirm': True, 'partial_exit_R': 3.5, 'trail_bars': 12, 'be_after_R': 2.9, 'atr_filter': 0.2, 'target_R': 2.0, 'flat_eod': False, 'skip_holidays': True}"
254,395,17571,1.089,25739,0.68,52.7,0.042,1.1,26.2,0.13,0.19,1057,4,1,"{'or_bars': 9, 'trade_mode': 'Both', 'stop_frac': 1.5, 'vpace_filter': 1.2, 'breakout_buf': 0.4, 'close_confirm': False, 'partial_exit_R': 2.5, 'trail_bars': 2, 'be_after_R': 3.5, 'atr_filter': 1.2, 'target_R': 7.5, 'flat_eod': False, 'skip_holidays': False}"
255,586,15636,1.059,41207,0.38,52.6,0.028,1.1,38.9,0.08,0.13,948,5,1,"{'or_bars': 12, 'trade_mode': 'Both', 'stop_frac': 2.5, 'vpace_filter': 0.3, 'breakout_buf': 0.45, 'close_confirm': True, 'partial_exit_R': 5.5, 'trail_bars': 18, 'be_after_R': 3.6, 'atr_filter': 1.3, 'target_R': 7.0, 'flat_eod': False, 'skip_holidays': True}"
256,866,16377,1.033,62087,0.26,47.9,0.017,1.0,57.5,0.07,0.11,1106,3,1,"{'or_bars': 11, 'trade_mode': 'Both', 'stop_frac': 1.25, 'vpace_filter': 0.7, 'breakout_buf': 0.05, 'close_confirm': False, 'partial_exit_R': 5.5, 'trail_bars': 12, 'be_after_R': 3.3, 'atr_filter': 1.3, 'target_R': 5.0, 'flat_eod': True, 'skip_holidays': False}"
257,311,13055,1.088,27736,0.47,43.4,0.05,1.0,20.7,0.12,0.22,839,4,1,"{'or_bars': 6, 'trade_mode': 'First-candle dir', 'stop_frac': 0.75, 'vpace_filter': 1.1, 'breakout_buf': 0.3, 'close_confirm': False, 'partial_exit_R': 6.0, 'trail_bars': 4, 'be_after_R': 1.7, 'atr_filter': 1.4, 'target_R': 7.5, 'flat_eod': False, 'skip_holidays': True}"
258,411,16582,1.077,33650,0.49,50.9,0.038,1.0,27.3,0.12,0.16,1073,4,1,"{'or_bars': 12, 'trade_mode': 'Short Only', 'stop_frac': 1.25, 'vpace_filter': 0.1, 'breakout_buf': 0.25, 'close_confirm': False, 'partial_exit_R': 1.0, 'trail_bars': 6, 'be_after_R': 4.0, 'atr_filter': 1.3, 'target_R': 2.0, 'flat_eod': True, 'skip_holidays': False}"
259,220,8701,1.11,23492,0.37,35.5,0.071,1.0,14.6,0.11,0.24,557,5,1,"{'or_bars': 2, 'trade_mode': 'First-candle dir', 'stop_frac': 0.75, 'vpace_filter': 1.2, 'breakout_buf': 0.1, 'close_confirm': True, 'partial_exit_R': 2.5, 'trail_bars': 19, 'be_after_R': 1.6, 'atr_filter': 1.5, 'target_R': 8.0, 'flat_eod': True, 'skip_holidays': False}"
260,258,14585,1.11,21922,0.67,53.5,0.051,0.9,17.1,0.11,0.17,1106,2,1,"{'or_bars': 11, 'trade_mode': 'Both', 'stop_frac': 1.75, 'vpace_filter': 1.1, 'breakout_buf': 0.45, 'close_confirm': True, 'partial_exit_R': 5.0, 'trail_bars': 4, 'be_after_R': 2.1, 'atr_filter': 1.4, 'target_R': 5.0, 'flat_eod': False, 'skip_holidays': False}"
261,140,10884,1.235,10497,1.04,60.7,0.092,0.9,9.3,0.17,0.23,844,4,2,"{'or_bars': 12, 'trade_mode': 'Long Only', 'stop_frac': 2.25, 'vpace_filter': 1.4, 'breakout_buf': 0.25, 'close_confirm': True, 'partial_exit_R': 3.0, 'trail_bars': 3, 'be_after_R': 2.2, 'atr_filter': 0.6, 'target_R': 3.0, 'flat_eod': True, 'skip_holidays': True}"
262,697,16421,1.047,36588,0.45,59.4,0.019,0.9,46.3,0.09,0.12,1244,2,1,"{'or_bars': 4, 'trade_mode': 'Long Only', 'stop_frac': 2.25, 'vpace_filter': 0.4, 'breakout_buf': 0.1, 'close_confirm': False, 'partial_exit_R': 0.5, 'trail_bars': 6, 'be_after_R': 2.9, 'atr_filter': 1.3, 'target_R': 6.0, 'flat_eod': False, 'skip_holidays': True}"
263,92,6854,1.215,18742,0.37,33.7,0.143,0.9,6.1,0.11,0.26,522,3,1,"{'or_bars': 2, 'trade_mode': 'Long Only', 'stop_frac': 1.0, 'vpace_filter': 1.4, 'breakout_buf': 0.25, 'close_confirm': True, 'partial_exit_R': 1.5, 'trail_bars': 11, 'be_after_R': 0.6, 'atr_filter': 1.5, 'target_R': 4.0, 'flat_eod': True, 'skip_holidays': True}"
264,338,11734,1.069,26256,0.45,41.7,0.04,0.9,22.4,0.1,0.17,862,4,1,"{'or_bars': 9, 'trade_mode': 'Short Only', 'stop_frac': 0.75, 'vpace_filter': 0.1, 'breakout_buf': 0.2, 'close_confirm': True, 'partial_exit_R': 2.5, 'trail_bars': 2, 'be_after_R': 2.5, 'atr_filter': 1.4, 'target_R': 6.0, 'flat_eod': True, 'skip_holidays': True}"
