rank,n,net,pf,dd,mar,win,evr,ryr,tpy,sh,so,avl,folds8,secs,params
124,2,-259,0.0,259,-1.0,0.0,-1.0,-0.1,0.1,0,0,129,0,30,"{'er_len': 90, 'er_th': 0.5, 'limit_atr': 0.25, 'tl_len': 238, 'vol_mult': 4.7, 'stop_mult': 0.5, 'act_R': 1.0, 'trail_frac': 3.0, 'buf_atr': 0.0, 'min_brk': 2.5, 'ema_len': 1220, 'atr_len': 88, 'regime_len': 10, 'breakeven_R': 2.0}"
125,1,-16,0.0,16,-1.0,0.0,-1.0,-0.1,0.1,0,0,16,0,19,"{'er_len': 110, 'er_th': 0.5, 'limit_atr': 0.1, 'tl_len': 194, 'vol_mult': 2.9, 'stop_mult': 0.7, 'act_R': 3.0, 'trail_frac': 4.0, 'buf_atr': 0.45, 'min_brk': 0.3, 'ema_len': 1220, 'atr_len': 112, 'regime_len': 50, 'breakeven_R': 0.5}"
126,16,-2122,0.903,17986,-0.12,31.2,-0.067,-0.1,1.1,-0.04,-0.05,1988,2,30,"{'er_len': 120, 'er_th': 0.3, 'limit_atr': 0.3, 'tl_len': 174, 'vol_mult': 0.5, 'stop_mult': 1.2, 'act_R': 0.0, 'trail_frac': 2.5, 'buf_atr': 0.9, 'min_brk': 2.2, 'ema_len': 900, 'atr_len': 20, 'regime_len': 100, 'breakeven_R': 1.5}"
127,1,-4909,0.0,4909,-1.0,0.0,-1.0,-0.1,0.1,0,0,4909,0,18,"{'er_len': 120, 'er_th': 0.45, 'limit_atr': 0.95, 'tl_len': 142, 'vol_mult': 3.5, 'stop_mult': 1.4, 'act_R': 2.0, 'trail_frac': 4.0, 'buf_atr': 1.0, 'min_brk': 0.2, 'ema_len': 1300, 'atr_len': 168, 'regime_len': 100, 'breakeven_R': 2.5}"
128,1,-1789,0.0,1789,-1.0,0.0,-1.0,-0.1,0.1,0,0,1789,0,20,"{'er_len': 90, 'er_th': 0.5, 'limit_atr': 0.0, 'tl_len': 158, 'vol_mult': 1.8, 'stop_mult': 0.9, 'act_R': 2.5, 'trail_frac': 0.5, 'buf_atr': 0.6, 'min_brk': 2.6, 'ema_len': 580, 'atr_len': 52, 'regime_len': 70, 'breakeven_R': 1.5}"
129,3,-4605,0.0,4605,-1.0,0.0,-1.0,-0.2,0.2,-0.36,-0.28,1535,0,31,"{'er_len': 110, 'er_th': 0.5, 'limit_atr': 0.7, 'tl_len': 54, 'vol_mult': 2.7, 'stop_mult': 0.8, 'act_R': 3.0, 'trail_frac': 3.5, 'buf_atr': 0.05, 'min_brk': 0.7, 'ema_len': 1460, 'atr_len': 124, 'regime_len': 85, 'breakeven_R': 0.0}"
130,11,-8347,0.398,11933,-0.7,18.2,-0.492,-0.4,0.7,-0.27,-0.3,1542,1,15,"{'er_len': 110, 'er_th': 0.35, 'limit_atr': 0.25, 'tl_len': 210, 'vol_mult': 3.7, 'stop_mult': 1.4, 'act_R': 2.5, 'trail_frac': 2.5, 'buf_atr': 0.1, 'min_brk': 0.2, 'ema_len': 580, 'atr_len': 84, 'regime_len': 0, 'breakeven_R': 1.0}"
131,1431,-2134,0.994,31101,-0.07,23.5,-0.005,-0.5,95.0,-0.01,-0.02,312,4,18,"{'er_len': 30, 'er_th': 0.35, 'limit_atr': 0.05, 'tl_len': 242, 'vol_mult': 2.8, 'stop_mult': 1.6, 'act_R': 0.5, 'trail_frac': 1.5, 'buf_atr': 0.5, 'min_brk': 0.4, 'ema_len': 1060, 'atr_len': 180, 'regime_len': 80, 'breakeven_R': 0.5}"
132,41,-9504,0.417,9806,-0.97,12.2,-0.511,-1.4,2.7,-0.41,-0.49,453,1,17,"{'er_len': 60, 'er_th': 0.45, 'limit_atr': 0.65, 'tl_len': 210, 'vol_mult': 4.3, 'stop_mult': 0.9, 'act_R': 2.0, 'trail_frac': 4.0, 'buf_atr': 0.35, 'min_brk': 3.0, 'ema_len': 180, 'atr_len': 24, 'regime_len': 100, 'breakeven_R': 0.5}"
133,1441,-8966,0.972,34946,-0.26,27.8,-0.02,-1.9,95.7,-0.06,-0.1,309,2,17,"{'er_len': 90, 'er_th': 0.1, 'limit_atr': 0.6, 'tl_len': 54, 'vol_mult': 3.4, 'stop_mult': 1.8, 'act_R': 3.0, 'trail_frac': 0.5, 'buf_atr': 1.0, 'min_brk': 0.8, 'ema_len': 820, 'atr_len': 148, 'regime_len': 40, 'breakeven_R': 1.5}"
