rid,fam,strategy,instrument,lb_from,lb_to,years,mult,n_cands,n_curves,n_idle,n_unknown,n_weight,crown_net,crown_pf,crown_dd,crown_mar,pool_net,pool_pf,pool_dd,pool_mar,top3_net,top3_pf,top3_dd,top3_mar,rand_net,rand_pf,rand_dd,rand_mar,dd_thinning_gap,profit_corr,frozen_share,mean_param_dist,near_dupe_pairs,exact_dupe_pairs,distinct_configs,distinct_curves,identical_curve_pairs
188,ENGU-Q,ENGUQ_1M_CTX_1_0.py,NQ,2025-06-30,2026-06-30,0.9993,20.0,5,3,0,2,3,73516.0,1.4032,-70560.0,1.0426,75291.3333,1.4269,-68918.0,1.0932,75291.3333,1.4269,-68918.0,1.0932,75291.3333,1.4149,-68918.0,1.0958,,0.957,0.9231,0.6667,0,0,3,2,1
189,ORB,ORB_3_0_ENS.py,NQ,2025-06-30,2026-06-30,0.9993,20.0,5,3,0,2,3,67492.0,1.9066,-8102.0,8.336,68145.3333,1.9199,-8101.3333,8.4174,68145.3333,1.9199,-8101.3333,8.4174,68145.3333,1.9184,-8101.3333,8.4174,,0.9984,0.7778,0.6667,0,0,3,3,0
190,ENGU-Q,ENGUQ_1M_CTX_1_0.py,ES,2025-06-30,2026-06-30,0.9993,50.0,5,3,0,2,3,15220.0,1.1649,-28930.0,0.5265,15220.0,1.1649,-28931.6667,0.5264,15220.0,1.1649,-28931.6667,0.5264,15220.0,1.1649,-28931.6667,0.5264,,1.0,0.8462,0.2472,1,0,2,2,1
191,ENGU-Q,ENGUQ_5M_1_0.py,ES,2025-06-30,2026-06-30,0.9993,50.0,5,3,0,2,3,-4845.0,0.933,-48850.0,-0.0992,15123.3333,1.2877,-40748.3333,0.3714,15123.3333,1.2877,-40748.3333,0.3714,15123.3333,1.3496,-40756.6667,0.434,,0.24,0.0,0.4658,0,0,3,3,0
192,ORB,ORB_3_0_ENS.py,NQ,2025-06-30,2026-06-30,0.9993,20.0,5,3,0,2,3,67492.0,1.9066,-8102.0,8.336,68145.3333,1.9199,-8101.3333,8.4174,68145.3333,1.9199,-8101.3333,8.4174,68145.3333,1.9184,-8101.3333,8.4174,,0.9984,0.7778,0.6667,0,0,3,3,0
193,ORB,ORB_3_0_ENS.py,NQ,2025-06-30,2026-06-30,0.9993,20.0,5,3,0,2,3,67492.0,1.9066,-8102.0,8.336,68145.3333,1.9199,-8101.3333,8.4174,68145.3333,1.9199,-8101.3333,8.4174,68145.3333,1.9184,-8101.3333,8.4174,,0.9984,0.7778,0.6667,0,0,3,3,0
194,ORB,ORB_3_0_ENS.py,NQ,2025-06-30,2026-06-30,0.9993,20.0,5,3,0,2,3,67492.0,1.9066,-8102.0,8.336,68145.3333,1.9199,-8101.3333,8.4174,68145.3333,1.9199,-8101.3333,8.4174,68145.3333,1.9184,-8101.3333,8.4174,,0.9984,0.7778,0.6667,0,0,3,3,0
195,ORB,ORB_3_0_ENS.py,NQ,2025-06-30,2026-06-30,0.9993,20.0,5,3,0,2,3,67492.0,1.9066,-8102.0,8.336,68145.3333,1.9199,-8101.3333,8.4174,68145.3333,1.9199,-8101.3333,8.4174,68145.3333,1.9184,-8101.3333,8.4174,,0.9984,0.7778,0.6667,0,0,3,3,0
196,ENGU-Q,ENGUQ_1M_ENS_1_0.py,NQ,2025-06-30,2026-06-30,0.9993,20.0,5,3,0,2,3,18880.0,1.2214,-48012.0,0.3935,16548.0,1.1576,-56062.6667,0.2954,16548.0,1.1576,-56062.6667,0.2954,16548.0,1.1583,-56062.6667,0.3006,,0.4564,0.0,0.3037,0,0,3,3,0
197,ENGU-Q,ENGUQ_1M_ENS_1_0.py,NQ,2025-06-30,2026-06-30,0.9993,20.0,5,3,0,2,3,18880.0,1.2214,-48012.0,0.3935,16548.0,1.1576,-56062.6667,0.2954,16548.0,1.1576,-56062.6667,0.2954,16548.0,1.1583,-56062.6667,0.3006,,0.4564,0.0,0.3037,0,0,3,3,0
198,ENGU-Q,ENGUQ_1M_ETH_1_0.py,NQ,2025-06-30,2026-06-30,0.9993,20.0,5,3,0,2,3,53792.0,1.5,-40738.0,1.3213,85558.6667,1.7679,-54592.6667,1.5683,85558.6667,1.7679,-54592.6667,1.5683,85558.6667,1.758,-56551.3333,1.6376,,0.5225,0.0909,0.4414,0,0,3,3,0
