famKey,param,label,n_runs,kind,declared_lo,declared_hi,step,n_declared_variants,widest_lo,widest_hi,steps,modal_value,pin_at,median_value,iqr_frac,median_pos,edge_rate,lo_edge_share,hi_edge_share,n_power,med_pps,med_mi,med_absr,drift_rho,n_sanity,share_finalists_all_same,share_best_worst_differ,med_finalist_distinct,recommendation,reason,widen_lo,widen_hi,freeze_is_artifact
ORB,flat_eod,Flat at the close — PINNED on,40,switch,0.0,1.0,,1,0.0,1.0,2,1.0,1.0,1.0,0.0,1.0,1.0,0.1,0.9,0,,,,0.22379317560917517,17,0.4117647058823529,0.4,2.0,FREEZE,an on/off switch crowned the same way in all 40 runs; the search is paying for a setting it never changes,,,False
ORB,atr_filter,"Vol-regime filter (× trailing median, 0=off)",11,range,0.0,1.5,0.1,3,0.0,1.5,16,0.7,0.7,0.5,0.4333333333333333,0.13333333333333333,0.2727272727272727,0.2727272727272727,0.0,12,0.0,0.052000000000000005,0.10250000000000001,-0.1889581505725527,29,0.6896551724137931,0.6,1.0,UNCLEAR,predictive power 0 but the crown wanders (43% of the range) -- no single value to pin,,,False
ORB,be_after_R,"Breakeven after (× risk, 0=off)",3,range,0.0,4.0,0.1,2,0.0,4.0,41,0.5,0.5,0.5,0.0625,0.125,0.3333333333333333,0.3333333333333333,0.0,3,0.0,0.005,0.007,,16,0.8125,0.5,1.0,UNCLEAR,only 3 crowned runs; needs 2 more,,,False
ORB,close_confirm,Confirm at bar close — PINNED ON (this is what makes it live-legal),40,switch,0.0,1.0,,1,0.0,1.0,2,1.0,1.0,1.0,1.0,1.0,1.0,0.3,0.7,0,,,,0.7797954497474304,17,0.47058823529411764,0.4,2.0,UNCLEAR,"an on/off switch that flips between runs (mostly on), with no stored power score to judge it on",,,False
ORB,daytype_band_hi,Band high edge - NARROW RANGE 0.80-0.90,1,range,0.8,0.9,0.05,1,0.8,0.9,3,0.7,0.7,0.7,,-1.000000000000001,1.0,1.0,0.0,1,0.0,0.683,0.086,,1,0.0,0.0,2.0,UNCLEAR,only 1 crowned runs; needs 4 more,,,False
ORB,daytype_band_lo,Band low edge - NARROW RANGE 0.55-0.65,1,range,0.55,0.65,0.05,1,0.55,0.65,3,0.55,0.55,0.55,,0.0,1.0,1.0,0.0,1,0.0,0.06,0.024,,1,0.0,1.0,3.0,UNCLEAR,only 1 crowned runs; needs 4 more,,,False
ORB,entry_cutoff,"Entry window (bars after OR, 0 = all day)",2,range,0.0,12.0,2.0,2,0.0,24.0,7,0.0,0.0,2.0,0.16666666666666669,0.16666666666666666,0.5,0.5,0.0,2,0.0,0.0305,0.0435,,2,0.0,,4.5,UNCLEAR,only 2 crowned runs; needs 3 more,,,False
ORB,gap_min,Min overnight gap (trailing-ATR units),1,range,0.0,0.5,0.05,1,0.0,0.5,11,0.25,0.25,0.25,,0.5,0.0,0.0,0.0,1,0.0,0.06,0.007,,2,0.5,,2.0,UNCLEAR,only 1 crowned runs; needs 4 more,,,False
ORB,or_bars,Opening range (bars),11,range,1.0,12.0,1.0,3,1.0,12.0,12,2.0,2.0,3.0,0.1818181818181818,0.18181818181818182,0.09090909090909091,0.09090909090909091,0.0,13,0.0,0.09,0.146,-0.27580936205249484,29,0.7241379310344828,0.6,1.0,UNCLEAR,predictive power 0 but the crown wanders (18% of the range) -- no single value to pin,,,False
ORB,orw_min,Min OR-width percentile (prior 20 sessions),1,range,0.0,0.7,0.1,1,0.0,0.7,8,0.0,0.0,0.0,,0.0,1.0,1.0,0.0,1,0.0,0.051,0.164,,2,0.5,,2.0,UNCLEAR,only 1 crowned runs; needs 4 more,,,False
ORB,partial_exit_R,"Partial exit / lot-1 TP (× risk, 0=off)",8,range,0.0,6.0,0.5,2,0.0,6.0,13,3.0,3.0,3.0,0.44791666666666663,0.5,0.125,0.0,0.125,8,0.0,0.039,0.1815,0.8101972166313901,16,0.5,0.8,2.0,UNCLEAR,predictive power 0 but the crown wanders (45% of the range) -- no single value to pin,,,False
ORB,skip_holidays,Skip holidays — PINNED on,40,switch,0.0,1.0,,1,0.0,1.0,2,1.0,1.0,1.0,1.0,1.0,1.0,0.325,0.675,0,,,,0.4554587641781645,17,0.29411764705882354,0.6,2.0,UNCLEAR,"an on/off switch that flips between runs (mostly on), with no stored power score to judge it on",,,False
ORB,stop_frac,Stop (× range width),13,range,0.5,2.0,0.25,5,0.5,3.0,7,1.25,1.25,1.75,0.5,0.8333333333333334,0.38461538461538464,0.07692307692307693,0.3076923076923077,15,0.0,0.09,0.092,0.6565323658248156,29,0.6206896551724138,0.6,1.0,UNCLEAR,predictive power 0 but the crown wanders (50% of the range) -- no single value to pin,,,False
ORB,target_R,Lot A target (× risk),23,range,3.0,6.0,0.5,4,0.0,8.0,7,4.0,4.0,4.0,0.16666666666666669,0.3333333333333333,0.043478260869565216,0.043478260869565216,0.0,25,0.0,0.05,0.199,0.06498011163156109,29,0.27586206896551724,0.6,3.0,UNCLEAR,predictive power 0 but the crown wanders (17% of the range) -- no single value to pin,,,False
ORB,vol_filter,"Volume filter (× session avg, 0=off)",3,range,0.0,3.0,0.25,1,0.0,3.0,13,1.25,1.25,1.25,0.041666666666666685,0.4166666666666667,0.0,0.0,0.0,6,0.14500000000000002,0.46599999999999997,0.2135,-0.8660254037844387,19,0.8947368421052632,,1.0,UNCLEAR,only 3 crowned runs; needs 2 more,,,False
ORB,vpace_filter,Volume-pace gate (× trailing norm),9,range,0.0,1.4,0.1,3,0.0,1.4,15,0.0,0.0,0.6,0.5,0.5,0.4444444444444444,0.4444444444444444,0.0,9,0.0,0.151,0.033,0.017733172553297715,12,0.3333333333333333,0.4,5.0,UNCLEAR,predictive power 0 but the crown wanders (50% of the range) -- no single value to pin,,,False
ORB,trail_bars,Lot B trail (bars),21,range,2.0,12.0,1.0,5,0.0,20.0,11,12.0,12.0,12.0,0.55,1.0,0.6666666666666666,0.047619047619047616,0.6190476190476191,21,0.149,0.209,0.693,-0.7223345833625602,28,0.25,0.6,3.0,WIDEN,62% of crowns sit on the declared maximum,2.0,17.0,False
RSIDIV,atr_length,ATR length (trailing-stop ATR mode),1,range,5.0,50.0,1.0,1,5.0,50.0,46,33.0,33.0,33.0,,0.6222222222222222,0.0,0.0,0.0,1,0.0,0.0,0.061,,0,,,,UNCLEAR,only 1 crowned runs; needs 4 more,,,False
RSIDIV,lb_left,Pivot lookback left,1,range,1.0,5.0,1.0,1,1.0,5.0,5,5.0,5.0,5.0,,1.0,1.0,0.0,1.0,1,0.0,0.058,0.052,,0,,,,UNCLEAR,only 1 crowned runs; needs 4 more,,,False
