ticker,accepted_et,items
TSLA,2012-07-25 16:06,"2.02,9.01"
AMZN,2012-07-26 16:08,"2.02,9.01"
META,2012-07-26 16:25,"2.02,9.01"
NVDA,2012-08-09 16:27,"2.02,9.01"
GOOGL,2012-10-18 12:30,"2.02,8.01,9.01"
MSFT,2012-10-18 16:02,"2.02,9.01"
META,2012-10-23 16:29,"2.02,9.01"
AMZN,2012-10-25 16:25,"2.02,9.01"
AAPL,2012-10-25 16:31,"2.02,9.01"
TSLA,2012-11-05 06:33,"2.02,9.01"
NVDA,2012-11-08 16:24,"2.02,8.01,9.01"
GOOGL,2013-01-22 16:01,"2.02,8.01,9.01"
AAPL,2013-01-23 16:31,"2.02,9.01"
MSFT,2013-01-24 16:04,"2.02,9.01"
AMZN,2013-01-29 16:30,"2.02,9.01"
META,2013-01-30 16:18,"2.02,9.01"
NVDA,2013-02-13 16:26,"2.02,9.01"
TSLA,2013-02-20 16:02,"2.02,9.01"
MSFT,2013-04-18 16:05,"2.02,9.01"
GOOGL,2013-04-18 16:12,"2.02,8.01,9.01"
AAPL,2013-04-23 16:31,"2.02,9.01"
AMZN,2013-04-25 16:39,"2.02,9.01"
META,2013-05-01 16:12,"2.02,5.02,9.01"
TSLA,2013-05-08 17:29,"2.02,9.01"
NVDA,2013-05-09 16:30,"2.02,9.01"
GOOGL,2013-07-18 16:01,"2.02,8.01,9.01"
MSFT,2013-07-18 16:07,"2.02,9.01"
AAPL,2013-07-23 16:30,"2.02,9.01"
META,2013-07-24 16:12,"2.02,9.01"
AMZN,2013-07-25 16:30,"2.02,9.01"
TSLA,2013-08-07 16:04,"2.02,9.01"
NVDA,2013-08-08 16:29,"2.02,9.01"
GOOGL,2013-10-17 16:13,"2.02,8.01,9.01"
MSFT,2013-10-24 16:04,"2.02,9.01"
AMZN,2013-10-24 16:35,"2.02,9.01"
AAPL,2013-10-28 16:31,"2.02,9.01"
META,2013-10-30 16:11,"2.02,9.01"
TSLA,2013-11-05 16:01,"2.02,8.01,9.01"
NVDA,2013-11-07 16:26,"2.02,9.01"
MSFT,2014-01-23 16:06,"2.02,9.01"
AAPL,2014-01-27 16:31,"2.02,9.01"
META,2014-01-29 16:19,"2.02,9.01"
GOOGL,2014-01-30 16:01,"2.02,8.01,9.01"
AMZN,2014-01-30 16:20,"2.02,9.01"
