
== NQ 1m  bars=1,585,002  sessions=4,126  (2s load)
config                             trades   WR%     PF       net $   maxDD $    MAR |        IS $  IS PF |        LB $  LB PF  yrs+
config                             trades   WR%     PF       net $   maxDD $    MAR |        IS $  IS PF |        LB $  LB PF  yrs+
published (fade 1, stop 2 ATR)        337  50.4   1.17      14,615     8,808   1.66 |      18,581   1.25 |      -3,967   0.66 11/6 
zero-cross exit                       336  51.2   1.01       1,492    10,835   0.14 |       7,701   1.09 |      -6,209   0.56 10/7 
flip exit (opposite fire)             336  51.5   0.98      -1,946    14,155  -0.14 |       4,263   1.05 |      -6,209   0.56  9/8 
fade 2 bars                           336  52.1   1.08       7,190    10,103   0.71 |      11,920   1.14 |      -4,729   0.62 10/7 
min 6-bar squeeze                     138  50.0   1.14       4,485     9,379   0.48 |       3,125   1.10 |       1,360   2.01  7/10
tight squeeze kc 2.0                  463  50.8   1.07       8,407    19,505   0.43 |      13,924   1.12 |      -5,517   0.61 13/4 
wide stop 3 ATR                       336  50.3   1.13      11,890     9,007   1.32 |      17,016   1.22 |      -5,126   0.61 11/6 
long only                             183  55.2   1.27       9,261     5,869   1.58 |       8,480   1.27 |         781   1.27 13/4 
short only                            154  44.8   1.10       5,354     9,611   0.56 |      10,101   1.23 |      -4,748   0.47  9/8 

wrote C:\Users\xride\AppData\Local\EdgeLog-worktrees\ttmsqz\tools\data\ttmsqz_baselines.csv
