TTM SQUEEZE ROUND 4 (higher-TF verification of shorter-TF entries) - window 2010-06-07..2026-06-30, LB from 2025-07-01

== NQ base 5m  bars=317,044
entry      HTF gate         trades   WR%     PF       net $   maxDD $    MAR |        IS $  IS PF |        LB $  LB PF  yrs+
carter     daily sign         1317  42.1   1.00        -442    17,744  -0.02 |      -9,225   0.95 |       8,782   1.47  5/12
carter     60m squeeze on      464  40.1   1.20      14,570     9,323   1.56 |      13,133   1.20 |       1,436   1.21 10/7 
carter     60m fired<=3         80  42.5   0.62      -4,691     7,034  -0.67 |      -3,943   0.65 |        -748   0.40  5/12
carter     60m+120m stack      925  41.5   0.83     -26,040    27,938  -0.93 |     -20,466   0.85 |      -5,574   0.75  5/12
break      none               1861  45.2   1.11      52,503    24,377   2.15 |      50,735   1.12 |       1,768   1.03 10/7 
break      60m sign            943  46.7   1.07      16,756    19,399   0.86 |      13,064   1.06 |       3,692   1.14  9/8 
break      60m rising          560  45.2   1.09      13,338    15,982   0.83 |       8,270   1.06 |       5,069   1.39 11/6 
break      120m sign           932  47.6   1.10      21,219    19,474   1.09 |      17,675   1.09 |       3,544   1.13 10/7 
break      daily sign          973  47.7   1.14      32,084    19,099   1.68 |      26,047   1.12 |       6,037   1.27 10/7 
break      60m squeeze on      346  44.8   1.69      50,925     5,592   9.11 |      53,665   1.82 |      -2,740   0.68 14/3 
break      60m fired<=3         62  46.8   1.17       2,615     5,484   0.48 |       2,975   1.21 |        -361   0.62  8/8 
break      60m+120m stack      700  46.7   0.99      -1,841    18,896  -0.10 |      -3,323   0.98 |       1,482   1.07  8/9 

== ES base 30m  bars=52,861
entry      HTF gate         trades   WR%     PF       net $   maxDD $    MAR |        IS $  IS PF |        LB $  LB PF  yrs+
carter     none               1037  44.6   1.09      17,752    20,064   0.88 |      19,454   1.11 |      -1,702   0.94  9/8 
carter     60m sign            545  44.2   1.09       8,509    10,910   0.78 |       8,125   1.10 |         385   1.03  8/9 
carter     60m rising          345  43.2   1.04       2,755    13,681   0.20 |       6,218   1.11 |      -3,464   0.70  9/8 
carter     120m sign           502  46.6   1.08       7,232    17,127   0.42 |       6,280   1.08 |         952   1.09 10/7 
carter     daily sign          536  47.2   1.13      13,177     6,634   1.99 |      11,527   1.13 |       1,650   1.16 10/7 
carter     60m squeeze on      314  51.6   2.06      45,790     3,896  11.75 |      40,650   2.03 |       5,140   2.31 14/3 
carter     60m fired<=3         44  34.1   0.80      -2,110     4,971  -0.42 |      -3,524   0.66 |       1,414  99.00  6/11
carter     60m+120m stack      386  43.5   0.89      -7,917    13,788  -0.57 |      -5,097   0.92 |      -2,821   0.73  9/8 
break      none                753  51.0   1.11      23,151    15,355   1.51 |      25,730   1.14 |      -2,580   0.89 10/7 
break      60m sign            408  49.3   1.04       4,184    10,086   0.41 |       6,468   1.07 |      -2,284   0.81 10/7 
break      60m rising          268  48.5   1.02       1,260    13,324   0.09 |       6,192   1.11 |      -4,932   0.57  7/10
break      120m sign           383  52.2   1.11      10,217    18,652   0.55 |       7,557   1.09 |       2,660   1.41  9/8 
break      daily sign          408  52.0   1.17      16,819     9,478   1.77 |      12,985   1.14 |       3,834   1.49  9/8 
break      60m squeeze on      240  54.2   1.66      31,769     4,196   7.57 |      27,919   1.61 |       3,850   2.33 13/4 
break      60m fired<=3         33  51.5   0.62      -5,143     8,144  -0.63 |      -6,556   0.52 |       1,414  99.00  8/8 
break      60m+120m stack      290  49.0   0.95      -3,757    14,782  -0.25 |      -2,940   0.96 |        -817   0.87  8/9 
